Date,Open,High,Low,Close,Adj Close,Volume
2014-05-05,205.449997,218.520004,203.500000,217.324997,206.818909,89533000
2014-05-12,218.800003,250.699997,218.800003,241.720001,230.034592,188812100
2014-05-19,244.899994,277.700012,244.899994,275.350006,262.038818,193071680
2014-05-26,283.399994,283.489990,253.100006,254.225006,241.935059,148509640
2014-06-02,254.899994,275.470001,252.669998,273.980011,262.242065,117744380
2014-06-09,275.500000,276.149994,258.600006,260.790009,249.617157,89393080
2014-06-16,261.089996,268.429993,254.705002,258.309998,247.243393,102052770
2014-06-23,258.399994,271.755005,256.700012,263.894989,252.589127,87322290
2014-06-30,265.000000,272.899994,264.554993,269.809998,258.250732,71141940
2014-07-07,269.709991,271.375000,241.199997,242.524994,232.134674,110212930
2014-07-14,242.000000,262.290009,236.639999,256.250000,245.271652,88172770
2014-07-21,256.100006,258.200012,248.309998,250.054993,239.342041,65593750
2014-07-28,250.520004,253.199997,241.000000,243.720001,233.278473,75484170
2014-08-04,245.300003,248.399994,239.000000,241.794998,231.435944,93206270
2014-08-11,243.000000,243.994995,235.009995,236.250000,226.128510,61591530
2014-08-18,235.500000,254.899994,235.399994,252.470001,241.653595,103009150
2014-08-25,253.000000,257.739990,245.300003,246.070007,235.527786,69996920
2014-09-01,247.699997,253.399994,247.289993,251.574997,240.796951,76759880
2014-09-08,253.720001,264.100006,252.559998,263.040009,251.770782,79495780
2014-09-15,261.380005,264.399994,253.695007,256.799988,245.798080,81849560
2014-09-22,255.100006,262.500000,235.005005,244.524994,234.048981,113319950
2014-09-29,245.100006,247.800003,241.220001,242.335007,231.952820,43022490
2014-10-06,242.335007,249.850006,234.604996,245.119995,234.618500,56396200
2014-10-13,243.699997,255.479996,243.119995,252.190002,241.385590,64949560
2014-10-20,257.700012,261.359985,255.274994,257.855011,246.807922,50733920
2014-10-27,259.200012,270.980011,258.100006,270.279999,258.700592,90080540
2014-11-03,270.600006,279.980011,269.424988,274.250000,262.500519,62548770
2014-11-10,275.899994,280.690002,269.500000,278.785004,266.841217,113413780
2014-11-17,279.399994,307.000000,279.220001,305.500000,292.411652,141907156
2014-11-24,307.799988,322.500000,301.000000,321.399994,307.630463,99678574
2014-12-01,322.799988,326.950012,311.549988,317.549988,303.945435,81126851
2014-12-08,318.600006,318.600006,303.299988,311.350006,298.011078,65002193
2014-12-15,308.299988,316.000000,287.000000,304.149994,291.119507,97412621
2014-12-22,306.299988,312.500000,303.350006,307.649994,294.469543,46642177
2014-12-29,309.500000,318.299988,306.000000,315.250000,301.743988,38192240
2015-01-05,316.250000,316.799988,295.149994,303.200012,290.210236,60406415
2015-01-12,304.149994,323.700012,301.100006,315.450012,301.935425,79204643
2015-01-19,316.549988,332.549988,312.500000,327.450012,313.421295,75057865
2015-01-26,327.450012,336.000000,307.000000,308.950012,295.713867,78327427
2015-02-02,309.500000,312.000000,285.700012,290.299988,277.862885,94569258
2015-02-09,289.500000,307.950012,275.700012,306.950012,293.799591,148542224
2015-02-16,310.600006,313.149994,296.799988,302.299988,289.348724,68399252
2015-02-23,303.200012,304.600006,288.049988,299.899994,287.051605,77355770
2015-03-02,305.899994,315.000000,289.750000,293.799988,281.212921,84951537
2015-03-09,292.000000,294.000000,280.000000,280.750000,268.722015,66977586
2015-03-16,281.500000,290.299988,276.799988,278.250000,266.329132,61406955
2015-03-23,279.399994,280.000000,255.199997,263.600006,252.306763,88144333
